AGEP,SEX,EDU,MSP,PINCP,HOUSING_TYPE,OWN_RENT,DENSITY
15,2,1,1,23916,2,2,245.63990783691406
42,2,12,6,149555,1,2,228.85035705566406
83,1,12,6,201830,1,2,191.43064880371094
78,2,12,1,150290,1,2,200.32447814941406
78,2,12,5,189898,1,2,222.79147338867188
70,2,12,4,163763,2,2,271.0902099609375
87,1,12,5,196210,1,1,219.92770385742188
31,1,12,5,145506,2,2,266.3238220214844
52,2,12,2,129101,2,1,242.71124267578125
30,2,12,3,117503,1,1,216.50128173828125
51,2,12,6,168370,2,0,272.8453063964844
15,2,1,1,26529,2,2,263.7384948730469
8,1,5,1,45110,1,1,216.85418701171875
91,1,12,4,195733,1,2,192.5814971923828
85,2,12,3,166600,2,0,254.88943481445312
88,2,12,4,170897,1,2,195.0598602294922
36,2,12,2,118461,2,2,231.60385131835938
10,2,12,1,78686,1,1,243.70606994628906
25,2,12,1,91363,1,2,215.0313720703125
95,1,12,2,175347,2,0,252.67123413085938
17,2,2,1,42794,1,2,191.69371032714844
68,2,12,4,162298,1,2,233.52369689941406
13,1,1,1,34332,2,1,274.2647705078125
91,2,12,1,159098,2,0,245.108154296875
15,1,2,1,27301,1,2,162.791015625
48,1,12,5,155525,1,2,203.84938049316406
80,2,12,1,152215,2,1,277.2504577636719
94,2,12,5,200705,1,2,236.92987060546875
13,1,3,1,36392,2,1,237.697021484375
27,1,12,1,96836,1,1,190.23660278320312
37,1,12,2,121400,2,2,245.99559020996094
13,2,2,1,32597,2,0,280.3306579589844
67,2,12,2,143761,1,2,236.76620483398438
55,2,12,5,164568,2,1,239.08938598632812
81,2,12,6,189124,1,2,258.2374267578125
46,1,12,1,116589,1,1,212.54908752441406
61,1,12,5,170379,1,2,244.41444396972656
60,2,12,4,160495,1,1,250.70462036132812
16,1,12,1,87485,2,2,267.2078552246094
90,2,12,2,170156,2,2,242.75790405273438
38,1,12,5,138595,2,2,276.3326721191406
28,1,12,5,141019,1,1,217.21546936035156
10,1,12,1,76139,2,1,246.39620971679688
6,1,2,1,22435,1,1,201.6382293701172
54,2,12,6,166190,2,1,293.81787109375
33,2,12,2,108117,1,1,166.66310119628906
81,1,12,4,168560,1,1,209.98886108398438
15,2,2,1,27615,2,0,241.45213317871094
5,2,4,1,39006,2,1,265.62701416015625
15,2,12,1,84990,2,1,246.08346557617188
82,2,12,5,200635,2,0,319.7981872558594
63,2,12,6,190044,1,2,196.1338348388672
33,1,12,5,138123,1,2,230.9222412109375
10,2,5,1,49342,2,2,236.21644592285156
82,2,12,2,160258,2,0,286.4186706542969
7,1,2,1,19531,2,0,235.30325317382812
52,1,12,3,134377,1,2,207.33950805664062
77,2,12,6,195873,1,2,219.5836181640625
86,1,12,4,189873,2,0,242.45518493652344
14,2,1,1,31471,2,1,277.1326904296875
71,1,12,3,163179,1,2,206.87347412109375
25,1,12,2,106991,2,0,261.9278564453125
14,1,2,1,36494,2,2,263.2275390625
21,2,12,2,98691,2,2,259.48126220703125
32,1,12,5,136603,2,0,267.0986633300781
11,1,2,1,31581,1,2,221.5618438720703
45,2,12,3,136519,2,1,243.77682495117188
10,1,2,1,27652,2,1,238.88719177246094
34,1,12,3,130535,2,2,242.7079315185547
16,1,2,1,38026,2,0,230.70220947265625
29,2,12,2,111598,2,1,263.0784606933594
64,1,12,5,172886,1,1,216.3221893310547
35,1,12,3,121049,1,1,230.42022705078125
25,2,12,1,90324,1,1,213.59115600585938
79,2,12,6,194499,2,2,264.4364013671875
32,1,12,3,120630,2,1,251.12008666992188
90,1,12,5,201632,1,1,227.0835723876953
30,1,12,3,124072,2,0,305.96490478515625
12,1,4,1,31902,1,1,179.77780151367188
91,1,12,6,215686,1,2,251.12742614746094
15,2,2,1,36280,2,1,230.77432250976562
77,2,12,5,186937,1,1,206.3235321044922
89,1,12,6,207044,2,2,282.1242370605469
50,2,12,3,136747,2,2,249.6665802001953
20,1,12,2,87624,2,1,262.459716796875
22,1,12,2,100153,2,2,230.49017333984375
42,2,12,1,121656,2,2,271.9510498046875
37,1,12,4,142553,1,2,203.4940643310547
54,1,12,6,176354,2,1,307.3475036621094
36,2,12,1,107440,2,2,251.5300750732422
40,2,12,5,152360,2,2,273.313720703125
51,1,12,2,130353,1,2,251.268310546875
74,1,12,4,172973,1,1,216.21212768554688
18,1,12,1,88279,1,1,201.3568115234375
64,1,12,3,155368,1,2,192.5243682861328
46,1,12,5,161285,2,1,299.37640380859375
58,1,12,5,170820,1,2,178.9845733642578
63,2,12,4,166335,2,0,280.3564453125
26,1,12,6,141440,2,1,289.1926574707031
35,1,12,5,149078,2,0,257.3132019042969
14,2,4,1,40370,2,2,255.6673126220703
46,2,12,2,130762,2,1,260.8946533203125
31,1,12,5,141892,2,1,266.28643798828125
36,1,12,6,157351,1,2,241.11199951171875
9,1,3,1,33359,1,1,220.3697509765625
28,1,12,2,102702,2,0,252.69081115722656
