,RAC1P,SEX,EDU,PINCP_DECILE,MSP,HOUSING_TYPE,OWN_RENT
0,1,2,5,7,2,3,2
1,9,1,1,6,3,3,0
2,1,2,11,5,5,1,1
3,1,1,3,5,1,1,0
4,1,2,6,8,1,1,0
5,1,1,3,7,3,1,0
6,1,2,7,1,2,1,1
7,2,1,5,6,4,1,1
8,5,1,1,9,1,3,0
9,2,1,4,6,5,1,1
10,1,1,9,0,1,3,0
11,1,2,8,5,1,1,1
12,2,1,5,9,1,1,1
13,1,2,3,6,4,1,0
14,1,1,3,0,6,1,2
15,5,1,1,6,1,3,0
16,9,1,9,2,1,3,0
17,1,2,5,4,2,2,0
18,9,2,10,2,1,3,0
19,2,2,3,0,4,1,2
20,1,1,9,1,1,3,0
21,1,1,4,2,1,1,2
22,1,1,4,1,5,1,1
23,1,2,9,1,1,3,0
24,9,2,1,1,6,3,2
25,1,2,1,2,1,1,1
26,5,2,12,6,1,2,0
27,2,1,5,8,5,1,2
28,6,2,9,0,1,3,0
29,1,1,4,0,1,1,0
30,1,1,1,0,1,1,1
31,3,1,9,9,3,3,0
32,1,2,5,9,6,1,1
33,1,1,8,2,5,1,1
34,2,2,5,3,4,3,0
35,1,2,10,8,1,1,1
36,8,1,2,9,6,1,1
37,8,2,7,1,1,1,0
38,1,1,1,5,1,3,0
39,6,2,1,6,3,3,2
40,1,1,9,0,1,3,0
41,1,1,9,6,6,1,0
42,6,2,9,1,1,3,0
43,1,2,5,4,1,3,0
44,1,1,5,9,2,1,2
45,9,1,9,1,1,3,0
46,1,2,11,7,4,1,0
47,9,1,3,1,2,2,2
48,1,1,9,7,5,1,1
49,1,1,7,4,6,1,1
50,2,1,10,2,1,3,0
51,1,1,8,3,3,1,1
52,1,1,9,1,1,3,0
53,9,2,9,5,6,1,1
54,1,1,7,8,4,1,0
55,5,2,2,0,5,1,0
56,9,1,9,9,4,3,0
57,1,1,2,9,6,1,1
58,1,2,4,5,3,1,0
59,1,2,7,0,6,3,0
60,1,1,8,5,2,1,2
61,1,2,1,9,1,3,0
62,1,1,11,0,1,3,0
63,1,2,9,2,1,3,0
64,6,2,10,2,1,3,0
65,1,1,1,6,1,3,0
66,2,2,9,0,1,3,0
67,1,1,10,2,1,3,0
68,1,2,1,3,5,1,2
69,1,1,4,2,1,3,1
70,3,2,1,4,6,3,0
71,2,2,9,2,1,3,0
72,2,2,9,1,1,3,0
73,4,2,9,2,1,3,0
74,1,2,11,2,6,1,2
75,1,1,5,4,4,2,0
76,1,2,4,7,2,3,2
77,8,2,2,3,6,1,2
78,1,1,12,9,1,1,1
79,9,2,7,0,6,1,1
80,1,1,8,3,1,3,2
81,1,2,6,9,5,1,1
82,9,2,9,2,1,3,0
83,8,1,7,7,5,1,1
84,1,1,7,6,2,1,2
85,2,2,3,6,2,1,1
86,8,1,11,1,6,1,1
87,2,1,6,9,1,1,0
88,9,2,9,4,4,1,1
89,1,1,5,0,3,2,0
90,1,2,12,8,1,1,1
91,1,1,12,7,3,1,1
92,1,1,9,1,1,3,0
93,1,2,7,9,4,3,0
94,1,1,4,6,4,3,0
95,2,1,5,8,6,1,0
