,SEX,RAC1P,MSP,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE
0,1,6,1,1,2,11,1
1,1,8,2,1,2,7,4
2,1,2,1,1,1,1,7
3,1,2,1,1,1,12,1
4,2,6,1,1,1,7,0
5,1,8,2,1,2,4,2
6,2,2,1,2,2,7,3
7,1,2,1,1,1,2,3
8,1,7,6,1,1,7,0
9,1,6,2,3,0,7,0
10,1,9,1,2,2,7,2
11,1,5,2,3,2,7,2
12,2,3,6,1,1,7,0
13,1,3,1,3,1,7,0
14,1,3,1,3,2,11,0
15,2,2,1,2,1,1,1
16,1,2,1,1,1,7,2
17,1,5,2,3,1,7,0
18,1,5,1,1,1,3,4
19,2,2,1,2,2,3,0
20,1,6,1,3,1,7,0
21,1,5,1,3,2,7,3
22,1,5,1,3,1,7,0
23,1,6,6,2,0,7,0
24,2,6,2,3,1,1,9
25,1,3,2,1,1,7,0
26,1,5,2,3,1,7,4
27,2,9,1,1,1,1,0
28,1,5,2,3,1,7,2
29,1,5,1,3,1,7,0
30,1,5,1,2,1,7,0
31,1,6,2,1,0,11,9
32,1,3,1,2,1,7,4
33,1,5,1,3,1,7,7
34,1,3,1,1,1,2,2
35,1,2,2,1,1,6,3
36,2,2,2,2,1,3,0
37,1,2,4,3,2,11,2
38,2,6,6,1,1,7,0
39,1,5,6,3,1,1,9
40,1,2,2,3,1,7,0
41,1,2,1,3,1,7,0
42,1,6,6,1,1,7,0
43,1,5,1,2,2,1,5
44,2,2,1,3,2,7,0
45,1,6,1,1,1,7,2
46,1,2,1,3,1,3,9
47,1,2,2,1,2,7,4
48,1,5,1,3,1,12,6
49,1,2,2,1,1,7,3
50,1,2,2,1,1,7,0
51,1,1,1,1,1,6,0
52,1,6,1,2,1,9,0
53,2,5,1,3,1,6,6
54,1,2,2,3,1,7,4
55,1,5,1,1,1,7,1
56,1,5,2,3,1,7,0
57,1,3,1,1,1,7,2
58,1,5,1,3,1,4,0
59,1,5,1,2,1,2,6
60,2,2,1,2,0,7,8
61,2,6,2,2,1,7,5
62,1,4,6,1,0,7,0
63,1,6,1,2,0,11,4
64,1,2,1,1,2,7,2
65,1,7,1,1,1,1,4
66,1,2,1,1,1,7,0
67,1,2,2,3,1,7,0
68,2,2,2,2,1,7,2
69,1,9,1,3,1,7,0
70,2,4,2,3,2,6,3
71,1,2,2,3,1,7,0
72,1,2,1,1,1,7,0
73,1,5,1,2,1,7,2
74,2,2,2,1,1,7,9
75,2,6,2,3,0,6,8
76,1,5,1,2,2,7,0
77,1,2,1,1,1,12,0
78,1,2,1,1,1,7,0
79,1,5,1,2,1,1,2
80,1,2,1,3,1,7,5
81,1,3,2,3,1,7,0
82,1,3,1,1,1,7,0
83,1,5,2,3,1,7,7
84,2,2,1,3,1,7,5
85,1,2,2,1,2,7,2
86,1,2,2,1,0,7,9
87,1,2,1,1,1,7,2
88,1,2,2,1,1,3,3
89,1,5,1,2,2,6,2
90,2,2,1,3,2,6,2
91,1,5,1,2,1,7,2
92,2,2,1,1,1,7,0
93,1,6,2,3,1,7,4
94,1,5,1,2,1,7,4
95,1,5,1,2,1,7,5
96,2,5,1,2,1,7,2
97,1,8,4,3,1,7,8
98,1,2,6,3,1,7,2
99,1,6,1,2,1,7,0
100,1,2,1,1,0,7,0
101,1,5,6,3,1,7,0
102,2,2,1,1,1,7,1
103,1,5,2,3,2,2,1
104,1,2,1,2,1,3,4
105,1,5,4,2,1,12,0
106,1,2,2,1,1,7,9
107,1,6,1,1,1,7,4
108,1,3,1,1,1,7,2
109,1,2,1,3,1,7,0
110,1,2,1,2,1,7,0
111,1,2,1,3,1,7,0
112,1,2,1,2,1,7,3
113,1,1,1,1,1,11,2
114,1,5,1,3,1,7,0
115,1,2,1,1,1,7,8
116,2,5,1,3,2,7,7
117,1,3,2,1,1,1,1
118,1,5,1,2,2,7,2
119,1,5,1,1,2,7,6
120,2,5,2,1,1,7,0
121,1,1,2,1,1,7,0
122,1,2,1,1,0,7,4
123,1,2,6,3,1,7,9
124,1,2,1,3,1,7,6
125,1,6,1,3,1,11,5
126,1,2,1,1,1,11,9
127,1,2,6,1,1,3,1
128,1,2,6,2,1,7,2
129,1,8,1,3,1,6,0
130,1,4,2,1,1,7,4
131,2,2,1,3,1,7,6
132,1,6,6,1,1,7,8
133,2,5,1,2,1,3,9
134,1,2,1,1,1,7,3
135,1,3,1,3,1,7,0
136,2,5,2,3,2,6,8
137,2,2,1,3,1,2,0
138,1,2,2,1,1,7,5
139,1,2,2,2,1,7,6
140,1,5,1,2,1,7,1
141,1,4,2,2,1,7,6
142,1,5,1,3,1,7,6
143,1,2,1,3,1,11,6
144,1,2,2,1,1,12,5
145,1,2,1,3,1,7,2
146,1,5,1,2,1,3,0
147,1,2,1,1,1,7,0
148,1,2,6,2,1,7,0
149,1,2,1,1,1,3,0
150,1,7,6,1,2,7,3
151,2,2,2,3,1,7,0
152,1,7,1,2,0,9,4
153,1,5,1,2,1,7,3
154,1,2,1,2,1,7,1
155,1,2,1,1,2,7,0
156,2,2,1,1,1,7,1
157,1,2,1,1,1,7,2
158,1,2,1,1,1,3,0
159,1,2,1,1,1,7,3
160,1,2,1,3,1,6,6
161,1,2,1,3,1,7,9
162,1,5,1,3,2,7,0
163,1,5,2,1,2,3,0
164,1,2,1,3,1,7,0
165,1,2,1,3,1,8,2
166,2,8,2,2,1,6,5
167,1,2,1,1,1,7,4
168,1,5,1,2,1,7,0
169,1,5,1,2,1,2,0
170,1,3,1,1,1,12,3
171,1,3,1,2,2,12,4
172,1,5,1,3,2,7,4
173,2,6,2,1,1,3,4
174,1,6,2,1,1,12,0
175,2,2,6,3,1,11,0
176,1,5,1,3,1,3,1
177,1,4,2,3,2,7,9
178,2,2,1,3,1,5,6
179,1,9,1,1,1,7,2
180,1,2,1,3,1,7,5
181,1,2,1,1,1,7,4
182,1,2,1,1,1,7,0
183,1,2,1,2,1,7,0
184,1,6,1,1,2,6,0
185,1,5,1,3,1,12,2
186,1,2,1,3,2,7,0
187,1,6,1,3,1,7,9
188,2,3,1,1,1,1,6
189,1,6,2,3,2,7,9
190,1,5,1,3,1,7,8
191,1,2,2,1,1,1,0
192,1,2,1,3,2,7,2
193,1,2,1,1,1,7,9
194,1,9,2,3,2,7,0
195,1,3,3,1,2,6,2
196,1,6,1,3,1,7,5
197,1,5,1,3,1,7,2
198,1,3,1,1,1,7,5
199,1,2,1,3,2,7,0
200,1,5,1,1,0,7,0
201,1,1,2,3,2,7,9
202,1,9,1,1,1,7,0
203,1,5,6,3,2,7,6
204,1,6,1,1,1,7,5
205,1,2,1,2,0,3,3
206,1,6,1,1,1,7,2
207,1,5,1,3,1,2,6
208,2,2,6,1,1,7,4
209,1,5,2,1,2,7,0
210,1,5,1,3,1,2,4
211,1,9,1,2,1,7,0
212,1,2,1,3,1,7,0
213,1,6,1,3,1,4,0
214,1,2,1,3,1,7,1
215,2,2,1,1,1,7,2
